datetime,GHI,GHI_climatology,power_true_MW,power_clim_MW
3150,23,29.348387096774193,0.94208,1.2021099354838711
3151,198,204.8516129032258,8.11008,8.39072206451613
3152,416,420.8,17.03936,17.235968
3153,627,632.6258064516129,25.68192,25.912353032258064
3154,807,812.0,33.05472,33.25952
3155,921,941.0516129032258,37.72416,38.54547406451613
3156,992,1007.8451612903226,40.63232,41.28133780645162
3157,998,1018.3806451612903,40.87808,41.71287122580645
3158,942,951.2516129032258,38.58432,38.963266064516134
3159,821,820.5612903225806,33.62816,33.61019045161291
3160,649,657.9483870967742,26.58304,26.94956593548388
3161,442,453.8258064516129,18.10432,18.588705032258066
3162,225,240.9806451612903,9.216,9.87056722580645
3163,42,52.464516129032255,1.72032,2.1489465806451618
3164,0,0.0,0.0,0.0
3165,0,0.0,0.0,0.0
3166,0,0.0,0.0,0.0
3167,0,0.0,0.0,0.0
3168,0,0.0,0.0,0.0
3169,0,0.0,0.0,0.0
3170,0,0.0,0.0,0.0
3171,0,0.0,0.0,0.0
3172,0,0.0,0.0,0.0
3173,0,0.0,0.0,0.0
3174,25,29.348387096774193,1.024,1.2021099354838711
3175,199,204.8516129032258,8.15104,8.39072206451613
3176,418,420.8,17.12128,17.235968
3177,629,632.6258064516129,25.76384,25.912353032258064
3178,809,812.0,33.13664,33.25952
3179,940,941.0516129032258,38.5024,38.54547406451613
3180,1014,1007.8451612903226,41.53344,41.28133780645162
3181,1020,1018.3806451612903,41.7792,41.71287122580645
3182,957,951.2516129032258,39.19872,38.963266064516134
3183,836,820.5612903225806,34.24256,33.61019045161291
3184,666,657.9483870967742,27.27936,26.94956593548388
3185,458,453.8258064516129,18.75968,18.588705032258066
3186,237,240.9806451612903,9.70752,9.87056722580645
3187,46,52.464516129032255,1.88416,2.1489465806451618
3188,0,0.0,0.0,0.0
3189,0,0.0,0.0,0.0
3190,0,0.0,0.0,0.0
3191,0,0.0,0.0,0.0
3192,0,0.0,0.0,0.0
3193,0,0.0,0.0,0.0
3194,0,0.0,0.0,0.0
3195,0,0.0,0.0,0.0
3196,0,0.0,0.0,0.0
3197,0,0.0,0.0,0.0
3198,26,29.348387096774193,1.06496,1.2021099354838711
3199,201,204.8516129032258,8.23296,8.39072206451613
3200,419,420.8,17.16224,17.235968
3201,627,632.6258064516129,25.68192,25.912353032258064
3202,807,812.0,33.05472,33.25952
3203,927,941.0516129032258,37.96992,38.54547406451613
3204,997,1007.8451612903226,40.83712,41.28133780645162
3205,1002,1018.3806451612903,41.04192,41.71287122580645
3206,942,951.2516129032258,38.58432,38.963266064516134
3207,824,820.5612903225806,33.75104,33.61019045161291
3208,654,657.9483870967742,26.78784,26.94956593548388
3209,450,453.8258064516129,18.432,18.588705032258066
3210,236,240.9806451612903,9.66656,9.87056722580645
3211,48,52.464516129032255,1.96608,2.1489465806451618
3212,0,0.0,0.0,0.0
3213,0,0.0,0.0,0.0
3214,0,0.0,0.0,0.0
3215,0,0.0,0.0,0.0
3216,0,0.0,0.0,0.0
3217,0,0.0,0.0,0.0
3218,0,0.0,0.0,0.0
3219,0,0.0,0.0,0.0
3220,0,0.0,0.0,0.0
3221,0,0.0,0.0,0.0
3222,28,29.348387096774193,1.14688,1.2021099354838711
3223,203,204.8516129032258,8.31488,8.39072206451613
3224,417,420.8,17.08032,17.235968
3225,627,632.6258064516129,25.68192,25.912353032258064
3226,805,812.0,32.9728,33.25952
3227,948,941.0516129032258,38.83008,38.54547406451613
3228,1018,1007.8451612903226,41.69728,41.28133780645162
3229,894,1018.3806451612903,36.61824,41.71287122580645
3230,957,951.2516129032258,39.19872,38.963266064516134
3231,837,820.5612903225806,34.28352,33.61019045161291
3232,668,657.9483870967742,27.36128,26.94956593548388
3233,463,453.8258064516129,18.96448,18.588705032258066
3234,244,240.9806451612903,9.99424,9.87056722580645
